trade_dt,underlying,change,change_percent,close,high,last_updated,low,open,previous_close,volume,vwap,contract_type,exercise_style,expiration_date,shares_per_contract,strike_price,ticker,spot_price,bid_yf,roi,roi_annualized,delta,gamma,theta,vega,implied_volatility,open_interest,underlying_ticker
1/15/26,AMD,-1.33,-53,1.18,1.56,2026-01-15T05:00:00+00:00,0.57,1.55,2.51,706,0.8566,put,american,2026-01-23,100,212.5,O:AMD260123P00212500,228.53199768066406,1.13,0.0030958904109589036,0.14125,-0.14118934263669383,0.013137213449135541,-0.2350587052916586,0.08640819904588648,0.5016453277798518,1010,AMD
1/15/26,MSTR,0.51,55.435,1.43,1.6,2026-01-15T05:00:00+00:00,0.81,0.91,0.92,1296,1.1034,put,american,2026-01-23,100,155,O:MSTR260123P00155000,172.8300018310547,1.1,0.0030136986301369864,0.1375,-0.1429761707420164,0.012622370164421427,-0.24887515964047255,0.06410174273951556,0.7003043127086659,1647,MSTR
1/15/26,DASH,-0.04,-4,0.96,1.18,2026-01-15T05:00:00+00:00,0.85,1.18,1,11,0.9391,put,american,2026-01-23,100,197.5,O:DASH260123P00197500,210.24000549316406,1.09,0.0029863013698630137,0.13625,-0.1646581146131904,0.018023315927129777,-0.20786909257778294,0.07968281730218786,0.4406403096083647,14,DASH
1/15/26,PLTR,0.05,4.348,1.2,1.22,2026-01-15T05:00:00+00:00,0.68,1,1.15,2499,0.9064,put,american,2026-01-23,100,165,O:PLTR260123P00165000,177.39999389648438,1.08,0.0029589041095890414,0.135,-0.16169568193723222,0.019053126573845412,-0.1923441097568222,0.06687699508373338,0.4893500927707234,3330,PLTR
1/15/26,ADI,-1.28,-53.3,1.12,1.12,2026-01-15T05:00:00+00:00,1.12,1.12,2.4,1,1.12,put,american,2026-01-23,100,290,O:ADI260123P00290000,303.42498779296875,1.05,0.0028767123287671234,0.13125,-0.14986306449654405,0.016431933297859067,-0.20264616266997207,0.11621744448304003,0.31447438604404454,57,ADI
1/15/26,GOOGL,0.12,12.766,1.06,1.36,2026-01-15T05:00:00+00:00,0.69,0.7,0.94,538,1.0237,put,american,2026-01-23,100,317.5,O:GOOGL260123P00317500,331.8949890136719,1.04,0.0028493150684931507,0.13,-0.14067271679619753,0.01576963179544885,-0.19381439053006916,0.1262064492695503,0.2885774258026768,1992,GOOGL
1/15/26,IDXX,-2.74,-25.8,7.86,7.86,2026-01-15T05:00:00+00:00,7.86,7.86,10.6,1,7.86,put,american,2026-02-20,100,620,O:IDXX260220P00620000,711.9299926757812,4.6,0.012602739726027396,0.12777777777777777,-0.13565924623393627,0.002305599265442785,-0.2804122337446287,0.5358710641212285,0.4274038402943291,13,IDXX
1/15/26,NXPI,-1.63,-57.6,1.2,2.5,2026-01-15T05:00:00+00:00,1.2,2.5,2.83,11,1.7909,put,american,2026-01-23,100,230,O:NXPI260123P00230000,239.6300048828125,1.0,0.0027397260273972603,0.125,-0.18431917156374367,0.02198287160892053,-0.19844246120483827,0.09237517859592058,0.3398675676912503,44,NXPI
1/15/26,LULU,-0.95,-44.6,1.18,2,2026-01-15T05:00:00+00:00,1.11,2,2.13,849,1.4759,put,american,2026-01-23,100,195,O:LULU260123P00195000,205.19500732421875,0.96,0.00263013698630137,0.12000000000000001,-0.16966562954069392,0.021844730477617386,-0.17791994753737497,0.07818043275216373,0.37918637799970745,691,LULU
1/15/26,GOOG,0.1,10.989,1.01,1.2,2026-01-15T05:00:00+00:00,0.68,0.82,0.91,406,0.9728,put,american,2026-01-23,100,317.5,O:GOOG260123P00317500,332.2974853515625,0.94,0.0025753424657534245,0.1175,-0.13266551378769417,0.01531835394856037,-0.18593849694563763,0.12618220462290533,0.28644008647077623,578,GOOG
1/15/26,ADBE,-0.19,-15.6,1.03,1.27,2026-01-15T05:00:00+00:00,0.83,0.94,1.22,185,1.0566,put,american,2026-01-23,100,290,O:ADBE260123P00290000,303.7699890136719,0.93,0.0025479452054794523,0.11625,-0.13916823223523672,0.01663408443326827,-0.18117368697178876,0.11526631745591949,0.2970954693771859,490,ADBE
1/15/26,LRCX,-3.2,-75.5,1.04,1.2,2026-01-15T05:00:00+00:00,0.35,0.35,4.24,112,0.8217,put,american,2026-01-23,100,202.5,O:LRCX260123P00202500,218.1699981689453,0.91,0.002493150684931507,0.11375,-0.1356974130063754,0.01392802724926862,-0.2115118397833352,0.08237828760830078,0.4850112959023904,358,LRCX
1/15/26,CDNS,0,0,1.24,1.24,2026-01-13T21:00:00+00:00,1.24,1.24,1.24,1,1.24,put,american,2026-01-23,100,305,O:CDNS260123P00305000,320.2300109863281,0.9,0.002465753424657534,0.1125,-0.15799739243152897,0.016076451456958938,-0.2197417747488009,0.12149705817332171,0.3165617529946084,4,CDNS
1/15/26,AXON,0.35,5.932,6.25,6.25,2026-01-15T05:00:00+00:00,6.25,6.25,5.9,1,6.25,put,american,2026-02-20,100,560,O:AXON260220P00560000,636.22998046875,3.7,0.010136986301369864,0.10277777777777779,-0.15456478466814424,0.0027843290240139756,-0.27511675190119134,0.48293373899974684,0.4309470081342672,35,AXON
1/15/26,ADSK,-0.08,-7.08,1.05,1.1,2026-01-15T05:00:00+00:00,1,1,1.13,6,1.0417,put,american,2026-01-23,100,250,O:ADSK260123P00250000,262.0199890136719,0.8,0.0021917808219178085,0.10000000000000002,-0.1536997130294441,0.01981989409326103,-0.17205189785027952,0.09948323157332536,0.3079766738606025,39,ADSK
1/15/26,AMZN,-0.35,-31,0.78,0.87,2026-01-15T05:00:00+00:00,0.47,0.78,1.13,1254,0.6692,put,american,2026-01-23,100,227.5,O:AMZN260123P00227500,237.36000061035156,0.76,0.0020821917808219177,0.095,-0.1423786104495894,0.022796411844115332,-0.13576097997362394,0.09021600334389535,0.28110054708397275,848,AMZN
1/15/26,NFLX,-0.07,-8.64,0.74,0.79,2026-01-15T05:00:00+00:00,0.59,0.6,0.81,2975,0.6379,put,american,2026-01-23,100,80,O:NFLX260123P00080000,88.09500122070312,0.74,0.0020273972602739727,0.09250000000000001,-0.1548480614361692,0.027121872238864753,-0.12820509359627608,0.03293745212954225,0.6706705544041011,7464,NFLX
