trade_dt,ticker,spot,strike,moneyness,premium,iv,delta,roi,roi_annualized,option_ticker,expiry
2026-01-14,ADI,297.989990234375,135.0,0.4530,0.27,4.652348,-0.006715,0.2000,36.5000,ADI260116P00135000,2026-01-16
2026-01-14,ADI,297.989990234375,140.0,0.4698,1.75,5.556644,-0.020532,1.2500,228.1250,ADI260116P00140000,2026-01-16
2026-01-14,ADI,297.989990234375,145.0,0.4866,1.75,5.324222,-0.021411,1.2069,220.2586,ADI260116P00145000,2026-01-16
2026-01-14,ADI,297.989990234375,150.0,0.5034,0.1,5.101566,-0.022362,0.0667,12.1667,ADI260116P00150000,2026-01-16
2026-01-14,ADI,297.989990234375,155.0,0.5202,0.5,5.059574,-0.026604,0.3226,58.8710,ADI260116P00155000,2026-01-16
2026-01-14,ADI,297.989990234375,160.0,0.5369,0.13,4.675785,-0.024385,0.0813,14.8281,ADI260116P00160000,2026-01-16
2026-01-14,ADI,297.989990234375,165.0,0.5537,0.7,4.509770,-0.026284,0.4242,77.4242,ADI260116P00165000,2026-01-16
2026-01-14,ADI,297.989990234375,170.0,0.5705,0.05,4.274419,-0.026622,0.0294,5.3676,ADI260116P00170000,2026-01-16
2026-01-14,ADI,297.989990234375,175.0,0.5873,1.05,3.804688,-0.021091,0.6000,109.5000,ADI260116P00175000,2026-01-16
2026-01-14,ADI,297.989990234375,180.0,0.6040,0.05,3.296877,-0.014307,0.0278,5.0694,ADI260116P00180000,2026-01-16
2026-01-14,ADI,297.989990234375,185.0,0.6208,0.1,3.392580,-0.021439,0.0541,9.8649,ADI260116P00185000,2026-01-16
2026-01-14,ADI,297.989990234375,190.0,0.6376,0.63,3.533204,-0.031974,0.3316,60.5132,ADI260116P00190000,2026-01-16
2026-01-14,ADI,297.989990234375,195.0,0.6544,0.11,3.343752,-0.033021,0.0564,10.2949,ADI260116P00195000,2026-01-16
2026-01-14,ADI,297.989990234375,200.0,0.6712,0.14,2.332035,-0.008247,0.0700,12.7750,ADI260116P00200000,2026-01-16
2026-01-14,ADI,297.989990234375,210.0,0.7047,0.04,2.843753,-0.038447,0.0190,3.4762,ADI260116P00210000,2026-01-16
2026-01-14,ADI,297.989990234375,220.0,0.7383,0.15,2.525394,-0.042889,0.0682,12.4432,ADI260116P00220000,2026-01-16
2026-01-14,ADI,297.989990234375,230.0,0.7718,0.05,1.738283,-0.018801,0.0217,3.9674,ADI260116P00230000,2026-01-16
2026-01-14,ADI,297.989990234375,235.0,0.7886,0.25,2.066411,-0.051469,0.1064,19.4149,ADI260116P00235000,2026-01-16
2026-01-14,ADI,297.989990234375,240.0,0.8054,0.2,1.917969,-0.055101,0.0833,15.2083,ADI260116P00240000,2026-01-16
2026-01-14,ADI,297.989990234375,245.0,0.8222,0.07,1.770509,-0.059189,0.0286,5.2143,ADI260116P00245000,2026-01-16
2026-01-14,ADI,297.989990234375,250.0,0.8390,0.05,1.029302,-0.009479,0.0200,3.6500,ADI260116P00250000,2026-01-16
2026-01-14,ADI,297.989990234375,252.5,0.8473,0.45,1.295902,-0.037732,0.1782,32.5248,ADI260116P00252500,2026-01-16
2026-01-14,ADI,297.989990234375,255.0,0.8557,0.05,1.175785,-0.033127,0.0196,3.5784,ADI260116P00255000,2026-01-16
2026-01-14,ADI,297.989990234375,257.5,0.8641,0.05,1.414554,-0.073573,0.0194,3.5437,ADI260116P00257500,2026-01-16
2026-01-14,ADI,297.989990234375,260.0,0.8725,0.21,1.341800,-0.077010,0.0808,14.7404,ADI260116P00260000,2026-01-16
2026-01-14,ADI,297.989990234375,262.5,0.8809,1.1,1.269535,-0.080863,0.4190,76.4762,ADI260116P00262500,2026-01-16
2026-01-14,ADI,297.989990234375,265.0,0.8893,0.05,1.196781,-0.085062,0.0189,3.4434,ADI260116P00265000,2026-01-16
2026-01-14,ADI,297.989990234375,267.5,0.8977,0.1,1.124028,-0.089768,0.0374,6.8224,ADI260116P00267500,2026-01-16
2026-01-14,ADI,297.989990234375,270.0,0.9061,0.08,0.819338,-0.048338,0.0296,5.4074,ADI260116P00270000,2026-01-16
2026-01-14,ADI,297.989990234375,272.5,0.9145,0.05,0.618168,-0.023681,0.0183,3.3486,ADI260116P00272500,2026-01-16
2026-01-14,ADI,297.989990234375,275.0,0.9228,0.15,0.544926,-0.021827,0.0545,9.9545,ADI260116P00275000,2026-01-16
2026-01-14,ADI,297.989990234375,277.5,0.9312,0.19,0.527348,-0.032050,0.0685,12.4955,ADI260116P00277500,2026-01-16
2026-01-14,ADI,297.989990234375,280.0,0.9396,0.08,0.471685,-0.035245,0.0286,5.2143,ADI260116P00280000,2026-01-16
2026-01-14,ADI,297.989990234375,282.5,0.9480,0.05,0.416021,-0.039398,0.0177,3.2301,ADI260116P00282500,2026-01-16
2026-01-14,ADI,297.989990234375,285.0,0.9564,0.15,0.400397,-0.063273,0.0526,9.6053,ADI260116P00285000,2026-01-16
2026-01-14,ADI,297.989990234375,287.5,0.9648,0.2,0.449713,-0.135359,0.0696,12.6957,ADI260116P00287500,2026-01-16
2026-01-14,ADP,258.5,110.0,0.4255,0.04,6.367190,-0.020228,0.0364,6.6364,ADP260116P00110000,2026-01-16
2026-01-14,ADP,258.5,115.0,0.4449,0.45,5.906253,-0.019140,0.3913,71.4130,ADP260116P00115000,2026-01-16
2026-01-14,ADP,258.5,120.0,0.4642,0.05,3.812500,-0.002110,0.0417,7.6042,ADP260116P00120000,2026-01-16
2026-01-14,ADP,258.5,125.0,0.4836,0.8,5.251957,-0.019508,0.6400,116.8000,ADP260116P00125000,2026-01-16
2026-01-14,ADP,258.5,130.0,0.5029,0.01,5.242191,-0.024645,0.0077,1.4038,ADP260116P00130000,2026-01-16
2026-01-14,ADP,258.5,140.0,0.5416,0.85,4.742192,-0.027222,0.6071,110.8036,ADP260116P00140000,2026-01-16
2026-01-14,ADP,258.5,145.0,0.5609,0.3,4.524418,-0.029074,0.2069,37.7586,ADP260116P00145000,2026-01-16
2026-01-14,ADP,258.5,150.0,0.5803,0.5,4.471684,-0.035103,0.3333,60.8333,ADP260116P00150000,2026-01-16
2026-01-14,ADP,258.5,155.0,0.5996,0.13,2.437504,-0.001714,0.0839,15.3065,ADP260116P00155000,2026-01-16
2026-01-14,ADP,258.5,160.0,0.6190,0.1,3.937500,-0.036522,0.0625,11.4062,ADP260116P00160000,2026-01-16
2026-01-14,ADP,258.5,165.0,0.6383,0.15,3.642579,-0.035863,0.0909,16.5909,ADP260116P00165000,2026-01-16
2026-01-14,ADP,258.5,170.0,0.6576,1.6,0.500005,0.000000,0.9412,171.7647,ADP260116P00170000,2026-01-16
2026-01-14,ADP,258.5,175.0,0.6770,0.4,3.431642,-0.048074,0.2286,41.7143,ADP260116P00175000,2026-01-16
2026-01-14,ADP,258.5,180.0,0.6963,0.2,2.703128,-0.028050,0.1111,20.2778,ADP260116P00180000,2026-01-16
2026-01-14,ADP,258.5,185.0,0.7157,0.36,2.424809,-0.025287,0.1946,35.5135,ADP260116P00185000,2026-01-16
2026-01-14,ADP,258.5,190.0,0.7350,0.39,2.258793,-0.027018,0.2053,37.4605,ADP260116P00190000,2026-01-16
2026-01-14,ADP,258.5,195.0,0.7544,0.05,1.406253,-0.002866,0.0256,4.6795,ADP260116P00195000,2026-01-16
2026-01-14,ADP,258.5,200.0,0.7737,0.05,1.296879,-0.003229,0.0250,4.5625,ADP260116P00200000,2026-01-16
2026-01-14,ADP,258.5,210.0,0.8124,0.05,1.927735,-0.063081,0.0238,4.3452,ADP260116P00210000,2026-01-16
2026-01-14,ADP,258.5,220.0,0.8511,0.05,0.851564,-0.004740,0.0227,4.1477,ADP260116P00220000,2026-01-16
2026-01-14,ADP,258.5,225.0,0.8704,0.1,1.410159,-0.083107,0.0444,8.1111,ADP260116P00225000,2026-01-16
2026-01-14,ADP,258.5,230.0,0.8897,0.05,0.640629,-0.006336,0.0217,3.9674,ADP260116P00230000,2026-01-16
2026-01-14,ADP,258.5,235.0,0.9091,0.12,1.066411,-0.105590,0.0511,9.3191,ADP260116P00235000,2026-01-16
2026-01-14,ADP,258.5,237.5,0.9188,0.16,0.979492,-0.113407,0.0674,12.2947,ADP260116P00237500,2026-01-16
2026-01-14,ADP,258.5,240.0,0.9284,0.15,0.521489,-0.025586,0.0625,11.4062,ADP260116P00240000,2026-01-16
2026-01-14,ADP,258.5,242.5,0.9381,0.96,0.809572,-0.135507,0.3959,72.2474,ADP260116P00242500,2026-01-16
2026-01-14,ADP,258.5,245.0,0.9478,0.14,0.719241,-0.149351,0.0571,10.4286,ADP260116P00245000,2026-01-16
2026-01-14,ADP,258.5,247.5,0.9574,0.05,0.440435,-0.087152,0.0202,3.6869,ADP260116P00247500,2026-01-16
2026-01-14,ADP,258.5,250.0,0.9671,0.15,0.348151,-0.093270,0.0600,10.9500,ADP260116P00250000,2026-01-16
2026-01-14,ADSK,261.2799987792969,100.0,0.3827,0.01,4.406254,-0.000940,0.0100,1.8250,ADSK260116P00100000,2026-01-16
2026-01-14,ADSK,261.2799987792969,105.0,0.4019,0.01,6.335940,-0.014672,0.0095,1.7381,ADSK260116P00105000,2026-01-16
2026-01-14,ADSK,261.2799987792969,110.0,0.4210,0.04,4.906254,-0.005168,0.0364,6.6364,ADSK260116P00110000,2026-01-16
2026-01-14,ADSK,261.2799987792969,115.0,0.4401,0.04,4.671879,-0.005437,0.0348,6.3478,ADSK260116P00115000,2026-01-16
2026-01-14,ADSK,261.2799987792969,120.0,0.4593,0.01,3.625001,-0.001203,0.0083,1.5208,ADSK260116P00120000,2026-01-16
2026-01-14,ADSK,261.2799987792969,125.0,0.4784,0.1,3.835938,-0.003077,0.0800,14.6000,ADSK260116P00125000,2026-01-16
2026-01-14,ADSK,261.2799987792969,130.0,0.4976,0.3,5.134769,-0.021315,0.2308,42.1154,ADSK260116P00130000,2026-01-16
2026-01-14,ADSK,261.2799987792969,135.0,0.5167,2.18,0.500005,0.000000,1.6148,294.7037,ADSK260116P00135000,2026-01-16
2026-01-14,ADSK,261.2799987792969,140.0,0.5358,0.45,5.056644,-0.031811,0.3214,58.6607,ADSK260116P00140000,2026-01-16
2026-01-14,ADSK,261.2799987792969,145.0,0.5550,0.01,2.781253,-0.001516,0.0069,1.2586,ADSK260116P00145000,2026-01-16
2026-01-14,ADSK,261.2799987792969,150.0,0.5741,0.75,5.092777,-0.048325,0.5000,91.2500,ADSK260116P00150000,2026-01-16
2026-01-14,ADSK,261.2799987792969,155.0,0.5932,0.71,4.839848,-0.050774,0.4581,83.5968,ADSK260116P00155000,2026-01-16
2026-01-14,ADSK,261.2799987792969,160.0,0.6124,0.25,4.641606,-0.054806,0.1562,28.5156,ADSK260116P00160000,2026-01-16
2026-01-14,ADSK,261.2799987792969,165.0,0.6315,0.25,4.401372,-0.057680,0.1515,27.6515,ADSK260116P00165000,2026-01-16
2026-01-14,ADSK,261.2799987792969,170.0,0.6506,0.05,2.894534,-0.017244,0.0294,5.3676,ADSK260116P00170000,2026-01-16
2026-01-14,ADSK,261.2799987792969,175.0,0.6698,0.1,2.628910,-0.015451,0.0571,10.4286,ADSK260116P00175000,2026-01-16
2026-01-14,ADSK,261.2799987792969,180.0,0.6889,0.93,3.417970,-0.054755,0.5167,94.2917,ADSK260116P00180000,2026-01-16
2026-01-14,ADSK,261.2799987792969,185.0,0.7081,1.55,3.212893,-0.058012,0.8378,152.9054,ADSK260116P00185000,2026-01-16
2026-01-14,ADSK,261.2799987792969,190.0,0.7272,0.1,2.474613,-0.033461,0.0526,9.6053,ADSK260116P00190000,2026-01-16
